time_s,adc,target,integral,error,kp,ki,output_x100,duty
9.064397811889648,2053,2048,-163,-5,0.01,0.002,4962,50
9.171395540237427,2033,2048,-161,15,0.01,0.002,4983,50
9.279393434524536,2041,2048,-161,7,0.01,0.002,4975,50
9.387613773345947,2039,2048,-160,9,0.01,0.002,4977,50
9.495613813400269,2036,2048,-158,12,0.01,0.002,4980,50
9.603559494018555,2037,2048,-157,11,0.01,0.002,4979,50
9.711777448654175,2040,2048,-157,8,0.01,0.002,4977,50
9.819259643554688,2037,2048,-155,11,0.01,0.002,4980,50
9.927388429641724,2034,2048,-154,14,0.01,0.002,4983,50
10.035690307617188,2034,2048,-153,14,0.01,0.002,4983,50
10.143724918365479,2038,2048,-152,10,0.01,0.002,4980,50
10.251725912094116,2037,2048,-151,11,0.01,0.002,4981,50
10.359723806381226,2032,2048,-149,16,0.01,0.002,4986,50
10.467725992202759,2032,2048,-147,16,0.01,0.002,4986,50
10.575684309005737,2038,2048,-146,10,0.01,0.002,4981,50
10.682721376419067,2036,2048,-145,12,0.01,0.002,4983,50
10.790725231170654,2036,2048,-144,12,0.01,0.002,4983,50
10.89872145652771,2037,2048,-143,11,0.01,0.002,4982,50
11.00672173500061,2038,2048,-142,10,0.01,0.002,4982,50
11.11462688446045,2044,2048,-141,4,0.01,0.002,4976,50
11.222545623779297,2034,2048,-140,14,0.01,0.002,4986,50
11.330852508544922,2037,2048,-139,11,0.01,0.002,4983,50
11.439196825027466,2036,2048,-138,12,0.01,0.002,4984,50
11.547197103500366,2044,2048,-137,4,0.01,0.002,4976,50
11.654196739196777,2041,2048,-137,7,0.01,0.002,4980,50
11.762197256088257,2036,2048,-135,12,0.01,0.002,4985,50
11.871197938919067,2040,2048,-135,8,0.01,0.002,4981,50
11.978238344192505,2041,2048,-134,7,0.01,0.002,4980,50
12.086237907409668,2037,2048,-133,11,0.01,0.002,4984,50
12.19423770904541,2040,2048,-132,8,0.01,0.002,4982,50
12.302294731140137,2036,2048,-131,12,0.01,0.002,4986,50
12.410295248031616,2044,2048,-130,4,0.01,0.002,4978,50
12.518666744232178,2031,2048,-129,17,0.01,0.002,4991,50
12.626666784286499,2034,2048,-127,14,0.01,0.002,4988,50
12.733683824539185,2040,2048,-127,8,0.01,0.002,4983,50
12.842546939849854,2036,2048,-125,12,0.01,0.002,4987,50
12.949769496917725,2034,2048,-124,14,0.01,0.002,4989,50
13.058114528656006,2038,2048,-123,10,0.01,0.002,4985,50
13.166100263595581,2036,2048,-122,12,0.01,0.002,4988,50
13.274100542068481,2038,2048,-121,10,0.01,0.002,4986,50
13.381957769393921,2041,2048,-120,7,0.01,0.002,4983,50
13.48996114730835,2041,2048,-119,7,0.01,0.002,4983,50
13.597962379455566,2041,2048,-119,7,0.01,0.002,4983,50
13.705515384674072,2035,2048,-117,13,0.01,0.002,4989,50
13.813515663146973,2037,2048,-116,11,0.01,0.002,4988,50
13.921514987945557,2034,2048,-115,14,0.01,0.002,4991,50
14.029515266418457,2034,2048,-113,14,0.01,0.002,4991,50
14.13750696182251,2041,2048,-113,7,0.01,0.002,4984,50
14.245507001876831,2051,2048,-113,-3,0.01,0.002,4974,50
14.353507041931152,2041,2048,-112,7,0.01,0.002,4984,50
14.461507320404053,2038,2048,-111,10,0.01,0.002,4988,50
14.569729804992676,2047,2048,-111,1,0.01,0.002,4979,50
14.677061557769775,2043,2048,-111,5,0.01,0.002,4983,50
14.785064697265625,2041,2048,-110,7,0.01,0.002,4985,50
14.893131256103516,2048,2048,-110,0,0.01,0.002,4978,50
15.001131534576416,2036,2048,-109,12,0.01,0.002,4990,50
15.109052181243896,2036,2048,-108,12,0.01,0.002,4990,50
15.217051982879639,2039,2048,-107,9,0.01,0.002,4988,50
15.32505178451538,2044,2048,-106,4,0.01,0.002,4983,50
15.433093309402466,2041,2048,-106,7,0.01,0.002,4986,50
15.541093349456787,2039,2048,-105,9,0.01,0.002,4988,50
15.649188756942749,2045,2048,-104,3,0.01,0.002,4982,50
15.75718879699707,2039,2048,-104,9,0.01,0.002,4988,50
15.865190267562866,2045,2048,-103,3,0.01,0.002,4982,50
15.972188949584961,2045,2048,-103,3,0.01,0.002,4982,50
16.080188751220703,2039,2048,-102,9,0.01,0.002,4989,50
16.188447952270508,2039,2048,-101,9,0.01,0.002,4989,50
16.296805381774902,2043,2048,-101,5,0.01,0.002,4985,50
16.404805183410645,2036,2048,-99,12,0.01,0.002,4992,50
16.5118510723114,2039,2048,-99,9,0.01,0.002,4989,50
16.619851112365723,2033,2048,-97,15,0.01,0.002,4996,50
16.728851318359375,2041,2048,-96,7,0.01,0.002,4988,50
16.836851119995117,2034,2048,-95,14,0.01,0.002,4995,50
16.943850994110107,2041,2048,-94,7,0.01,0.002,4988,50
17.052260160446167,2047,2048,-94,1,0.01,0.002,4982,50
17.16025948524475,2039,2048,-93,9,0.01,0.002,4990,50
17.268260717391968,2040,2048,-92,8,0.01,0.002,4989,50
17.376259803771973,2057,2048,-93,-9,0.01,0.002,4972,50
17.484258890151978,2041,2048,-93,7,0.01,0.002,4988,50
17.591623067855835,2045,2048,-92,3,0.01,0.002,4984,50
17.699623107910156,2041,2048,-92,7,0.01,0.002,4989,50
17.807912826538086,2047,2048,-92,1,0.01,0.002,4983,50
17.916259288787842,2065,2048,-93,-17,0.01,0.002,4964,50
18.023258686065674,2036,2048,-92,12,0.01,0.002,4994,50
18.131222248077393,2037,2048,-91,11,0.01,0.002,4993,50
18.23922109603882,2039,2048,-90,9,0.01,0.002,4991,50
18.34722113609314,2034,2048,-89,14,0.01,0.002,4996,50
18.45523953437805,2037,2048,-88,11,0.01,0.002,4993,50
18.563239574432373,2042,2048,-87,6,0.01,0.002,4989,50
18.67168617248535,2041,2048,-86,7,0.01,0.002,4990,50
