time_s,adc,target,integral,error,kp,ki,output_x100,duty
9.477758169174194,2034,2048,174,14,0.01,0.002,5049,50
9.585427045822144,2028,2048,176,20,0.01,0.002,5055,51
9.693427324295044,2032,2048,178,16,0.01,0.002,5052,51
9.801266431808472,2026,2048,180,22,0.01,0.002,5058,51
9.909772396087646,2033,2048,181,15,0.01,0.002,5051,51
10.017512559890747,2027,2048,184,21,0.01,0.002,5058,51
10.12533164024353,2032,2048,185,16,0.01,0.002,5053,51
10.23383903503418,2029,2048,187,19,0.01,0.002,5057,51
10.341839790344238,2035,2048,188,13,0.01,0.002,5051,51
10.44983959197998,2028,2048,190,20,0.01,0.002,5058,51
10.557421922683716,2032,2048,192,16,0.01,0.002,5054,51
10.665489196777344,2028,2048,194,20,0.01,0.002,5059,51
10.773488283157349,2032,2048,196,16,0.01,0.002,5055,51
10.881524085998535,2030,2048,197,18,0.01,0.002,5058,51
10.99052357673645,2032,2400,234,368,0.01,0.002,5415,54
11.099524021148682,2188,2400,255,212,0.01,0.002,5263,53
11.208523988723755,2130,2400,282,270,0.01,0.002,5327,53
11.317134380340576,2156,2400,307,244,0.01,0.002,5305,53
11.42634129524231,2147,2400,332,253,0.01,0.002,5320,53
11.535685062408447,2150,2400,357,250,0.01,0.002,5322,53
11.6446852684021,2169,2400,380,231,0.01,0.002,5307,53
11.753684282302856,2148,2400,405,252,0.01,0.002,5333,53
11.862684965133667,2157,2400,430,243,0.01,0.002,5329,53
11.971092700958252,2157,2400,454,243,0.01,0.002,5334,53
12.080607175827026,2175,2400,476,225,0.01,0.002,5320,53
12.189890146255493,2178,2400,499,222,0.01,0.002,5322,53
12.298890113830566,2153,2400,523,247,0.01,0.002,5352,54
12.40790319442749,2165,2400,547,235,0.01,0.002,5344,53
12.51636266708374,2178,2400,569,222,0.01,0.002,5336,53
12.625362634658813,2163,2400,593,237,0.01,0.002,5356,54
12.734365940093994,2167,2400,616,233,0.01,0.002,5356,54
12.843378782272339,2172,2400,639,228,0.01,0.002,5356,54
12.952378749847412,2168,2400,662,232,0.01,0.002,5365,54
13.061396598815918,2187,2400,683,213,0.01,0.002,5350,53
13.17091417312622,2183,2400,705,217,0.01,0.002,5358,54
13.279914140701294,2173,2400,728,227,0.01,0.002,5373,54
13.388943433761597,2174,2400,750,226,0.01,0.002,5376,54
13.497943639755249,2177,2400,773,223,0.01,0.002,5378,54
