time_s,mcu_tick_ms,adc,target,integral,error,kp,ki,output_x100,duty
8.755915880203247,8285,2016,2048,174,32,0.01,0.002,5067,51
8.864657163619995,8394,2050,2048,174,-2,0.01,0.002,5033,50
8.974175214767456,8503,2016,2048,177,32,0.01,0.002,5068,51
9.082760334014893,8612,2033,2048,179,15,0.01,0.002,5051,51
9.191756963729858,8721,2044,2048,179,4,0.01,0.002,5040,50
9.300754308700562,8830,2022,2048,182,26,0.01,0.002,5062,51
9.409752607345581,8939,2029,2048,183,19,0.01,0.002,5056,51
9.519261598587036,9048,2048,2048,183,0,0.01,0.002,5037,50
9.628260850906372,9157,2039,2048,184,9,0.01,0.002,5046,50
9.737266778945923,9266,2043,2048,185,5,0.01,0.002,5042,50
9.846282005310059,9375,2020,2048,188,28,0.01,0.002,5066,51
9.95498514175415,9484,2033,2048,189,15,0.01,0.002,5053,51
10.063982486724854,9593,2024,2048,192,24,0.01,0.002,5062,51
10.172980546951294,9702,2047,2048,192,1,0.01,0.002,5039,50
10.281978607177734,9811,2021,2048,194,27,0.01,0.002,5066,51
10.391052007675171,9920,2034,2048,196,14,0.01,0.002,5053,51
10.501049757003784,10029,2043,2400,231,357,0.01,0.002,5403,54
10.610423564910889,10139,2183,2400,253,217,0.01,0.002,5268,53
10.720945835113525,10249,2135,2400,280,265,0.01,0.002,5321,53
10.8309805393219,10359,2150,2400,305,250,0.01,0.002,5311,53
10.940978527069092,10469,2165,2400,328,235,0.01,0.002,5301,53
11.050976514816284,10579,2143,2400,354,257,0.01,0.002,5328,53
11.160977840423584,10689,2157,2400,378,243,0.01,0.002,5319,53
11.27097225189209,10799,2171,2400,401,229,0.01,0.002,5309,53
11.380985736846924,10909,2163,2400,425,237,0.01,0.002,5322,53
11.491355180740356,11019,2152,2400,450,248,0.01,0.002,5338,53
11.601353406906128,11129,2159,2400,474,241,0.01,0.002,5336,53
11.711388349533081,11239,2178,2400,496,222,0.01,0.002,5321,53
11.821386337280273,11349,2171,2400,519,229,0.01,0.002,5333,53
11.931420087814331,11459,2155,2400,543,245,0.01,0.002,5354,54
12.04141879081726,11569,2182,2400,565,218,0.01,0.002,5331,53
12.15166163444519,11679,2156,2400,590,244,0.01,0.002,5362,54
12.262015581130981,11789,2167,2400,613,233,0.01,0.002,5356,54
12.372048616409302,11899,2167,2400,636,233,0.01,0.002,5360,54
12.482046604156494,12009,2186,2400,658,214,0.01,0.002,5346,53
12.592044591903687,12119,2181,2400,679,219,0.01,0.002,5355,54
12.7020423412323,12229,2164,2400,703,236,0.01,0.002,5377,54
12.812040567398071,12339,2174,2400,726,226,0.01,0.002,5371,54
12.922431945800781,12449,2171,2400,749,229,0.01,0.002,5379,54
13.032425880432129,12559,2194,2400,769,206,0.01,0.002,5360,54
13.142423629760742,12669,2186,2400,791,214,0.01,0.002,5372,54
13.252421855926514,12779,2171,2400,813,229,0.01,0.002,5392,54
13.361927270889282,12889,2179,2400,836,221,0.01,0.002,5388,54
13.471925258636475,12999,2179,2400,858,221,0.01,0.002,5393,54
13.582432270050049,13109,2199,2400,878,201,0.01,0.002,5377,54
13.692430019378662,13219,2175,2400,900,225,0.01,0.002,5405,54
13.80266785621643,13329,2186,2400,922,214,0.01,0.002,5398,54
13.911990404129028,13439,2202,2400,941,198,0.01,0.002,5386,54
